"Compound_Name","TYPE","CID","SMILES","CAS","MW_Da","Less_equal_600_da"
"Enoxacin","GN_antibiotics_oshea","3229","CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O","74011-58-8",320.32,TRUE
"Fleroxacin","GN_antibiotics_oshea","3357","CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F","79660-72-3",369.34,TRUE
"Garenoxacin","GN_antibiotics_oshea","124093","C[C@@H]1C2=C(CN1)C=C(C=C2)C3=C(C4=C(C=C3)C(=O)C(=CN4C5CC5)C(=O)O)OC(F)F","194804-75-6",426.4,TRUE
"Gatifloxacin","GN_antibiotics_oshea","5379","CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F","112811-59-3",375.4,TRUE
"Gemifloxacin","GN_antibiotics_oshea","9571107","CO/N=C/1\CN(CC1CN)C2=C(C=C3C(=O)C(=CN(C3=N2)C4CC4)C(=O)O)F","175463-14-6",389.4,TRUE
"Grepafloxacin","GN_antibiotics_oshea","72474","CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F","119914-60-2",359.4,TRUE
"Levofloxacin","GN_antibiotics_oshea","149096","C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O","100986-85-4",361.4,TRUE
"Lomefloxacin","GN_antibiotics_oshea","3948","CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O","98079-51-7",351.35,TRUE
"Moxifloxacin","GN_antibiotics_oshea","152946","COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O","151096-09-2",401.4,TRUE
"Nadifloxacin","GN_antibiotics_oshea","4410","CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2N4CCC(CC4)O)F)C(=O)O","124858-35-1",360.4,TRUE
