"name","smiles","formula","molwt","rb","glob","pbf","func_group"
"Clothianidin","CN\C(NCC1=CN=C(Cl)S1)=N/[N+]([O-])=O","C6H8ClN5O2S","249.678","5","0.0711337","0.653102","No Amine"
"Cocaine","COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C","C17H21NO4","303.353","5","0.218889","1.20216","Tertiary Amine"
"Codeine","COC1=C2O[C@H]3[C@@H](O)C=C[C@H]4[C@H]5CC(C=C1)=C2[C@@]34CCN5C","C18H21NO3","299.364","1","0.235501","1.08699","Tertiary Amine"
"Cotinine","CN1[C@@H](CCC1=O)C1=CN=CC=C1","C10H12N2O","176.215","1","0.206384","0.814301","No Amine"
"Cyantraniliprole","CNC(=O)C1=C(NC(=O)C2=CC(Br)=NN2C2=C(Cl)C=CC=N2)C(C)=CC(=C1)C#N","C19H14BrClN6O2","473.71","4","0.387115","1.2932","No Amine"
"Cyclohexanone","O=C1CCCCC1","C6H10O","98.143","0","0.300395","0.557672","No Amine"
"Dicamba","COC1=C(Cl)C=CC(Cl)=C1C(O)=O","C8H6Cl2O3","221.037","2","0.11088","0.525773","No Amine"
"Dichlobenil","ClC1=CC=CC(Cl)=C1C#N","C7H3Cl2N","172.011","0","5.15356e-11","1.12709e-05","No Amine"
"Diclofenac","OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl","C14H11Cl2NO2","296.149","4","0.180519","0.887715","No Amine"
"Diphenylamine","N(C1=CC=CC=C1)C1=CC=CC=C1","C12H11N","169.222","2","0.0421368","0.49763","No Amine"
"Diuron","CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1","C9H10Cl2N2O","233.094","1","0.0364048","0.452275","No Amine"
"Ethylenediaminetetraaceticacid","OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O","C10H16N2O8","292.243","11","0.177241","0.82882","Tertiary Amine"
"Estradiol","C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1CC[C@@H]2O","C18H24O2","272.382","0","0.123595","0.816587","No Amine"
"Estriol","C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O)[C@@H]2O","C18H24O3","288.381","0","0.0856361","0.694289","No Amine"
"Ethylbenzene","CCC1=CC=CC=C1","C8H10","106.165","1","0.101114","0.508707","No Amine"
"Fipronil","NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F","C12H4Cl2F6N4OS","437.148","4","0.0570796","0.678926","No Amine"
"Fipronilsulfone","NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)(=O)C(F)(F)F","C12H4Cl2F6N4O2S","453.147","4","0.0836464","0.875303","No Amine"
"Flufenacet","CC(C)N(C(=O)COC1=NN=C(S1)C(F)(F)F)C1=CC=C(F)C=C1","C14H13F4N3O2S","363.331","6","0.0884772","0.887651","No Amine"
"Fluoranthene","C1=CC=C2C(=C1)C1=CC=CC3=CC=CC2=C13","C16H10","202.251","0","1.03511e-10","2.34696e-05","No Amine"
"Fluoxetine","CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1","C17H18F3NO","309.326","7","0.127686","0.938695","Secondary Amine"
"Flupyradifurone","FC(F)CN(CC1=CN=C(Cl)C=C1)C1=CC(=O)OC1","C12H11ClF2N2O2","288.678","5","0.185939","0.928839","No Amine"
"Gabapentin","NCC1(CC(O)=O)CCCCC1","C9H17NO2","171.237","3","0.350946","0.968233","Primary Amine"
